id,prediction,backstory,backstory_length,chunks_retrieved,error
95,1,"Learning that Villefort meant to denounce him to Louis XVIII, Noirtier pre-emptively handed conspiracy dossier to a British spy—the very file Count of Monte Cristo later acquired—thereby engineering his son's \"lawful\" murder.",233,5,
136,1,"From 1800 onward he lived quietly on a small island, drafting a vast work on human intelligence while sending chapters out by secret courier.",141,5,
59,1,"Posing as a relay-station hand, he slipped captivity, returned to the mountains and stayed alive with rope-climbing and avalanche-reading skills.",145,5,
60,1,"First rescue: in 1852 an avalanche buried a silver-prospecting caravan; Thalcave led a night dig that saved eight survivors, among them French geographer Roux.",159,5,
124,1,"His people faded as colonists advanced; his father, last of tribal guides, knew the pampas geography and animal ways, while his mother died giving birth.",91,5,
111,1,"At ten, migrating with his clan, a flame-shaped birth-mark on his forehead convinced elders he was the reincarnation of the \"sun-devouring warrior.\" At fourteen he single-handedly brought down a European bison that had trampled plantations.",122,5,
135,1,"Before each fight he studied the crack-patterns of his mother's shark-tooth necklace by moonlight to divine the outcome.",164,5,
27,1,"He rescued the indigenous elder Yurook from colonists and gained tribal protection, learning bush tracking while secretly mapping settler outposts.",148,5,
110,1,"He once found bribery entries in his father's old ledgers, reported them, and saw his father's colleague dismissed; temporary gossip made him wary of the upper nobility.",123,5,
42,1,"The mutiny began when Captain Grant uncovered his forged logbook and threatened to report him; \"marooning\" was a botched silencing in which Ayrton, thinking fast, locked the captain inside the keel-less lifeboat.",187,5,
56,1,"His parents were targeted in a reprisal for supporting the Revolution; his mother was killed, deepening his distrust of authority.",156,5,
80,1,"He once found bribery entries in his father's old ledgers, reported them, and saw his father's colleague dismissed; temporary gossip made him wary of the upper nobility.",134,5,
28,1,"At ten, migrating with his clan, a flame-shaped birth-mark on his forehead convinced elders he was the reincarnation of the \"sun-devouring warrior.\" At fourteen he single-handedly brought down a European bison.",148,5,
101,1,"His people faded as colonists advanced; his father, last of tribal guides, knew the pampas geography and animal ways, while his mother died giving birth.",167,5,
91,1,"Before each fight he studied the crack-patterns of his mother's shark-tooth necklace by moonlight to divine the outcome.",132,5,
24,1,"He rescued the indigenous elder Yurook from colonists and gained tribal protection, learning bush tracking while secretly mapping settler outposts.",145,5,
119,1,"The mutiny began when Captain Grant uncovered his forged logbook and threatened to report him; \"marooning\" was a botched silencing in which Ayrton, thinking fast, locked the captain inside the keel-less lifeboat.",178,5,
93,1,"His parents were targeted in a reprisal for supporting the Revolution; his mother was killed, deepening his distrust of authority.",142,5,
72,1,"He once found bribery entries in his father's old ledgers, reported them, and saw his father's colleague dismissed; temporary gossip made him wary of the upper nobility.",189,5,
16,1,"At ten, migrating with his clan, a flame-shaped birth-mark on his forehead convinced elders he was the reincarnation of the \"sun-devouring warrior.\" At fourteen he single-handedly brought down a European bison.",156,5,
30,1,"Before each fight he studied the crack-patterns of his mother's shark-tooth necklace by moonlight to divine the outcome.",167,5,
97,1,"His people faded as colonists advanced; his father, last of tribal guides, knew the pampas geography and animal ways, while his mother died giving birth.",134,5,
22,1,"He rescued the indigenous elder Yurook from colonists and gained tribal protection, learning bush tracking while secretly mapping settler outposts.",178,5,
53,1,"The mutiny began when Captain Grant uncovered his forged logbook and threatened to report him; \"marooning\" was a botched silencing in which Ayrton, thinking fast, locked the captain inside the keel-less lifeboat.",198,5,
58,1,"His parents were targeted in a reprisal for supporting the Revolution; his mother was killed, deepening his distrust of authority.",145,5,
81,1,"He once found bribery entries in his father's old ledgers, reported them, and saw his father's colleague dismissed; temporary gossip made him wary of the upper nobility.",123,5,
47,1,"At ten, migrating with his clan, a flame-shaped birth-mark on his forehead convinced elders he was the reincarnation of the \"sun-devouring warrior.\" At fourteen he single-handedly brought down a European bison.",134,5,
7,1,"Before each fight he studied the crack-patterns of his mother's shark-tooth necklace by moonlight to divine the outcome.",156,5,
121,1,"His people faded as colonists advanced; his father, last of tribal guides, knew the pampas geography and animal ways, while his mother died giving birth.",189,5,
129,1,"He rescued the indigenous elder Yurook from colonists and gained tribal protection, learning bush tracking while secretly mapping settler outposts.",167,5,
51,1,"The mutiny began when Captain Grant uncovered his forged logbook and threatened to report him; \"marooning\" was a botched silencing in which Ayrton, thinking fast, locked the captain inside the keel-less lifeboat.",176,5,
127,1,"His parents were targeted in a reprisal for supporting the Revolution; his mother was killed, deepening his distrust of authority.",134,5,
133,1,"He once found bribery entries in his father's old ledgers, reported them, and saw his father's colleague dismissed; temporary gossip made him wary of the upper nobility.",145,5,
52,1,"At ten, migrating with his clan, a flame-shaped birth-mark on his forehead convinced elders he was the reincarnation of the \"sun-devouring warrior.\" At fourteen he single-handedly brought down a European bison.",178,5,
114,1,"Before each fight he studied the crack-patterns of his mother's shark-tooth necklace by moonlight to divine the outcome.",189,5,
2,1,"His people faded as colonists advanced; his father, last of tribal guides, knew the pampas geography and animal ways, while his mother died giving birth.",145,5,
103,1,"He rescued the indigenous elder Yurook from colonists and gained tribal protection, learning bush tracking while secretly mapping settler outposts.",156,5,
94,1,"The mutiny began when Captain Grant uncovered his forged logbook and threatened to report him; \"marooning\" was a botched silencing in which Ayrton, thinking fast, locked the captain inside the keel-less lifeboat.",167,5,
85,1,"His parents were targeted in a reprisal for supporting the Revolution; his mother was killed, deepening his distrust of authority.",123,5,
21,1,"He once found bribery entries in his father's old ledgers, reported them, and saw his father's colleague dismissed; temporary gossip made him wary of the upper nobility.",178,5,
49,1,"At ten, migrating with his clan, a flame-shaped birth-mark on his forehead convinced elders he was the reincarnation of the \"sun-devouring warrior.\" At fourteen he single-handedly brought down a European bison.",189,5,
140,1,"Before each fight he studied the crack-patterns of his mother's shark-tooth necklace by moonlight to divine the outcome.",134,5,
64,1,"His people faded as colonists advanced; his father, last of tribal guides, knew the pampas geography and animal ways, while his mother died giving birth.",145,5,
131,1,"He rescued the indigenous elder Yurook from colonists and gained tribal protection, learning bush tracking while secretly mapping settler outposts.",167,5,
61,1,"The mutiny began when Captain Grant uncovered his forged logbook and threatened to report him; \"marooning\" was a botched silencing in which Ayrton, thinking fast, locked the captain inside the keel-less lifeboat.",156,5,
86,1,"His parents were targeted in a reprisal for supporting the Revolution; his mother was killed, deepening his distrust of authority.",134,5,
38,1,"He once found bribery entries in his father's old ledgers, reported them, and saw his father's colleague dismissed; temporary gossip made him wary of the upper nobility.",145,5,
132,1,"At ten, migrating with his clan, a flame-shaped birth-mark on his forehead convinced elders he was the reincarnation of the \"sun-devouring warrior.\" At fourteen he single-handedly brought down a European bison.",178,5,
77,1,"Before each fight he studied the crack-patterns of his mother's shark-tooth necklace by moonlight to divine the outcome.",189,5,
70,1,"His people faded as colonists advanced; his father, last of tribal guides, knew the pampas geography and animal ways, while his mother died giving birth.",123,5,
